,Sector,Sector Index
ROCK,Industrials,0
VITFF,Basic Materials,1
LVMUY,Consumer Cyclical,2
NEE,Utilities,3
JPM,Financial Services,4
ROKU,Communication Services,5
NPCPF,Basic Materials,1
CAJ,Technology,6
TUP,Consumer Cyclical,2
GOOG,Communication Services,5
XOM,Energy,7
APPN,Technology,6
MET,Financial Services,4
PG,Consumer Defensive,8
AZRE,Utilities,3
NVTA,Healthcare,9
ARES,Financial Services,4
AROC,Energy,7
AAPL,Technology,6
LH,Healthcare,9
BHP,Basic Materials,1
TKGSY,Utilities,3
PLD,Real Estate,10
DFIHY,Consumer Defensive,8
INN,Real Estate,10
AJINY,Consumer Defensive,8
DITTF,Real Estate,10
UPS,Industrials,0
UNH,Healthcare,9
EXPE,Consumer Cyclical,2
OPRA,Communication Services,5
CMI,Industrials,0
VVV,Energy,7
